"기업명","경력","직무","질문"
"현대모비스㈜","신입","일반면접 - 재무담당자","현대모비스에서 왜 근무하고 싶으세요?"
"현대모비스㈜","신입","일반면접 - 재무담당자","원가관리 업무를 하려면 공장 및 본사 근무가 고정적이지 않고 상황에 따라 달라질 수 있는데 위 부분에 대해서는 어떻게 생각하시나요?"
"현대모비스㈜","신입","일반면접 - 재무담당자","원가율 분석 업무를 해보았는데 본인이 생각하기에 원가율을 줄이기 위한 가장 중요한 대안은 무엇이라고 생각하나요?"
"현대모비스㈜","신입","일반면접 - 기계엔지니어","스넬의 법칙에 대해 말해주세요."
"현대모비스㈜","신입","일반면접 - 기계엔지니어","전반사에 대해 말해주세요."
"현대모비스㈜","신입","일반면접 - 기계엔지니어","특별히 좋아하는 램프가 있나요?"
"현대모비스㈜","신입","일반면접 - 재무담당자","현대모비스에 몇 번 지원한 것으로 알고 있는데, 왜 우리 회사에서 일하고 싶어요?"
"현대모비스㈜","신입","일반면접 - 재무담당자","원가 관련 직무 경험이 있는 것으로 파악되는데 구체적으로 말씀해주시겠어요?"
"현대모비스㈜","신입","일반면접 - 재무담당자","공고를 보면 알겠지만 근무지가 진천이랑 서울을 왔다갔다 해야 되는데 괜찮을까요?"
"현대모비스㈜","신입","일반면접 - 품질관리자","현대모비스가 어떤 제품을 만들고, 어떤 사업을 하는지 알고 있나요?"
"현대모비스㈜","신입","일반면접 - 품질관리자","성격의 장단점에 대해 말씀해주실수 있나요?"
"현대모비스㈜","신입","일반면접 - 품질관리자","전동화 제품중 아는건 무엇이 있나요?"
"현대모비스㈜","신입","일반면접 - 품질관리자","해당 직무에 지원한 동기는?"
"현대모비스㈜","신입","일반면접 - 품질관리자","해당 직무에서 가장 중요한 것은?"
"현대모비스㈜","신입","일반면접 - 품질관리자","설계 직무에 더 맞는 사람인 것 같은데 왜 이 직무에 지원하셨나요?"
"현대모비스㈜","신입","일반면접 - 품질관리자","감정노동이 심한 직무인데 괜찮은가요?"
"현대모비스㈜","신입","일반면접 - 품질관리자","전기, 전자 쪽이 점점 중요해지는데 이쪽으로 공부하는게 있나요?"
"현대모비스㈜","신입","일반면접 - 제품영업","자기소개를 해보세요."
"현대모비스㈜","신입","일반면접 - 제품영업","리더 역할을 했을 때 사람들의 반응이 어땠나요?"
"현대모비스㈜","신입","일반면접 - 제품영업","갈등을 해결한 경험을 말해보세요."
"현대모비스㈜","신입","일반면접 - 기계엔지니어","몇번째 면접인가?"
"현대모비스㈜","신입","일반면접 - 기계엔지니어","프로젝트에서 본인이 낸 아이디어는 어떤 것인지?"
"현대모비스㈜","신입","일반면접 - 기계엔지니어","본인이 지원 직무에서 기여할 수 있는 부분은?"
"현대모비스㈜","신입","일반면접 - 품질관리자","자기소개를 해보세요"
"현대모비스㈜","신입","일반면접 - 품질관리자","학점이 낮은데? 이유는?"
"현대모비스㈜","신입","일반면접 - 품질관리자","창의적으로 문제를 해결해 본 경험?"
"현대모비스㈜","신입","일반면접 - 품질관리자","천안 말고 다른 근무지도 상관없는가?"
"현대모비스㈜","신입","일반면접 - 품질관리자","생산관리 직무가 무엇이라고 생각하는가?"
"현대모비스㈜","신입","일반면접 - 품질관리자","학부시절 팀활동경험에 대해 말해보세요."
"현대모비스㈜","신입","일반면접 - 품질관리자","인적성 전형 당시 창의성평가 때 적었던 내용에 관해 질문을 하십니다."
"현대모비스㈜","신입","일반면접 - 품질관리자","협동했던 사례"
"현대모비스㈜","신입","일반면접 - 품질관리자","도전했던 사례"
"현대모비스㈜","인턴","일반면접 - 기계엔지니어","인상깊은 팀프로젝트에 대해 말해보세요."
"현대모비스㈜","인턴","일반면접 - 기계엔지니어","창의적인 아이디어를 낸 경험에 대해 말해보세요."
"현대모비스㈜","인턴","일반면접 - 기계엔지니어","좌우명은 무엇인가요?"
"현대모비스㈜","인턴","일반면접 - 기계엔지니어","현대모비스가 생산하고 있는 품목들은 어떤 것이 있습니까?"
"현대모비스㈜","인턴","일반면접 - 기계엔지니어","현대모비스에 대해 알고 계신 것이 있으십니까?"
"현대모비스㈜","신입","일반면접 - AS사업>AS부품>영업관리","왜 공대생인데, 영업 쪽을 선택했는가?"
"현대모비스㈜","신입","인성면접 - 제품영업","본인 인생에서 가장 힘들었던 경험은 무엇이었습니까?"
"현대모비스㈜","신입","인성면접 - 제품영업","자동차와 관련된 에피소드가 있습니까?"
"현대모비스㈜","신입","인성면접 - 제품영업","축구 동아리에 들어간 이유는 무엇입니까?"
"현대모비스㈜","신입","인성면접 - 품질관리자","그러면 앞서의 경험들에 본인 스스로 점수를 준다면 100점 만점에 몇 점을 주고 싶나요?"
"현대모비스㈜","신입","인성면접 - 품질관리자","살아오며 창의적으로 일을 처리한 경험을 한 가지 말해보세요."
"현대모비스㈜","신입","인성면접 - 품질관리자","살아오며 최선의 노력을 했던 경험을 하나만 말해보세요."
"현대모비스㈜","신입","인성면접 - 품질관리자","취업 후 기숙사에 살고 싶나요?"
"현대모비스㈜","인턴","인성면접 - 품질관리자","관련 자격증을 취득하지 않은 이유는 무엇인가요?"
"현대모비스㈜","인턴","인성면접 - 품질관리자","1분 동안 자기소개해보세요."
"현대모비스㈜","인턴","인성면접 - 품질관리자","해외에서 문제를 해결해 본 경험이 있나요?"
"현대모비스㈜","신입","인성면접 - 제조사업>품질>품질관리","창의적으로 문제를 해결했던 경험에 대해 이야기해보시오."
"현대모비스㈜","신입","인성면접 - 제조사업>품질>품질관리","계획을 세워 목표를 이뤘던 경험에 대해 이야기해보시오."
"현대모비스㈜","신입","인성면접 - 제조사업>품질>품질관리","공백기 동안 무엇을 했는가?"
"현대모비스㈜","신입","인성면접 - 제조사업>품질>품질관리","누군가와 협업했던 경험에 대해 이야기해보시오. 구체적으로 준비기간, 역할, 내용, 협력한 사항 등에 대해 이야기해보시오."
"현대모비스㈜","신입","인성면접 - 제조사업>품질>품질관리","단체생활을 하면서 무언가를 새롭게 개선했던 경험이 있는가?"
"현대모비스㈜","신입","인성면접 - 제조사업>품질>품질관리","살면서 힘들었던 경험이 있는가?"
"현대모비스㈜","신입","인성면접 - 제조사업>품질>품질관리","지원자의 성격은 어떠한가?"
"현대모비스㈜","신입","인성면접 - 제조사업>품질>품질관리","직무와 관련하여 관심있는 기술이 있는가?"
"현대모비스㈜","신입","인성면접 - 제조사업>품질>품질관리","품질관리 직무에 지원한 지원동기는 무엇인가?"
"현대모비스㈜","신입","인성면접 - 지원>재경>재무","1분 자기소개해보시오."
"현대모비스㈜","신입","인성면접 - 지원>재경>재무","도전했던 경험에 대해 말씀해주십시오."
"현대모비스㈜","신입","인성면접 - 지원>재경>재무","마지막으로 하고 싶은 말이 있는가?"
"현대모비스㈜","신입","인성면접 - 지원>재경>재무","이메일 주소는 언제 만든 것인가?"
"현대모비스㈜","신입","인성면접 - 지원>재경>재무","창의력을 발휘했던 경험에 대해 얘기해주십시오."
"현대모비스㈜","신입","인성면접 - 지원>재경>재무","취미가 무엇인가?"
"현대모비스㈜","신입","인성면접 - 지원>경영지원>인사/총무","창의적으로 문제를 해결했던 경험에 대해 이야기해보시오."
"현대모비스㈜","신입","인성면접 - 지원>경영지원>인사/총무","가장 도전적인 자세로 도전했던 일에 대해 이야기해보시오."
"현대모비스㈜","신입","인성면접 - 연구개발","공동의 목표를 위해 함께 노력한 경험에 대해 말해보시오."
"현대모비스㈜","신입","인성면접 - 연구개발","어려운 목표를 세우고 체계적으로 달성하려 노력했던 경험에 대해 말해보시오."
"현대모비스㈜","신입","인성면접 - 연구개발","간단하게 자기소개 해보시오."
"현대모비스㈜","신입","인성면접 - 연구개발","같은 문제에 대해 다른 사람과 의견이 갈릴 때 어떻게 할 것인가?"
"현대모비스㈜","신입","인성면접 - 연구개발","경험했던 조별 프로젝트에서 성취한 결과와 그 결과를 이루기 위해 팀원 혹은 개인으로 어떤 노력을 했는지 말해보시오."
"현대모비스㈜","신입","인성면접 - 연구개발","교육 봉사 활동을 했던데, 지적 장애 아동을 대상으로 한 봉사 활동은 어떤 것이었나?"
"현대모비스㈜","신입","인성면접 - 연구개발","구성원과 하나의 높은 목표를 설정하고 함께 도전한 경험이 있는가? 그곳에서 당신의 역할은 무엇이었는지 구체적으로 설명해봐라. 구체적으로 몇 퍼센트의 일을 분담했다고 생각하는가?"
"현대모비스㈜","신입","인성면접 - 연구개발","높은 목표를 정해서 일했던 적이 있는가?"
"현대모비스㈜","신입","인성면접 - 연구개발","모터 설계를 한다고 했는데, 전자계 설계 쪽인가? 아니면 기구 설계 쪽인가?"
"현대모비스㈜","신입","인성면접 - 연구개발","모터 전자계 설계를 하고 싶다고 했는데, 이 일을 하지 않더라도 현대모비스에서 일할 의향이 있는가?"
"현대모비스㈜","신입","인성면접 - 연구개발","모터를 설계한 후에는 제작이 들어가야 할 텐데, 이 부분까지 고려를 하고 있는 건가?"
"현대모비스㈜","신입","인성면접 - 연구개발","본인을 왜 뽑아야 하는지 말해보시오."
"현대모비스㈜","신입","인성면접 - 연구개발","본인이 전공하고 지원한 분야가 아니더라도 현대모비스에서 일할 의향이 있는가?"
"현대모비스㈜","신입","인성면접 - 연구개발","봉사 활동은 얼마나 자주 했으며 어느 정도의 시간을 할애했는가?"
"현대모비스㈜","신입","인성면접 - 연구개발","어떤 분야에서 일하고 싶은가? 그 분야에서 하는 일은 무엇인지 알고 있는가?"
"현대모비스㈜","신입","인성면접 - 연구개발","역경을 극복한 경험이 있는가?"
"현대모비스㈜","신입","인성면접 - 연구개발","왜 현대자동차가 아니라 현대모비스를 선택했는가?"
"현대모비스㈜","신입","인성면접 - 연구개발","이 연구가 석사 졸업 논문 테마인가? 앞으로 남은 기간 동안 최적 설계를 마치고 제작을 통한 유효성 검증까지 마칠 수 있겠는가?"
"현대모비스㈜","신입","인성면접 - 연구개발","자기소개서를 보면 교육 봉사 활동을 언급했는데, 구체적으로 어떤 봉사 활동이었나? 봉사 활동에는 얼마나 자주, 그리고 얼마나 많은 시간을 할애했는가?"
"현대모비스㈜","신입","인성면접 - 연구개발","자기소개서에 들어가고 싶은 팀 이름을 언급했는데, 이것은 어떤 경로를 통해 알게 되었는가?"
"현대모비스㈜","신입","인성면접 - 연구개발","자소서에 적은 대회 경험에 대한 결과는 어땠는가?"
"현대모비스㈜","신입","인성면접 - 연구개발","전공 관련 경험에 대해 이야기해보시오."
"현대모비스㈜","신입","인성면접 - 연구개발","전자계 설계를 하면 유효성 검증이 중요할 텐데, 이에 대한 것은 어떻게 진행하는가?"
"현대모비스㈜","신입","인성면접 - 연구개발","조별 프로젝트를 한 적이 있는가? 있다면 어떤 과제였으며, 결과는 어떠했고, 그 결과를 이루기 위해서 팀원 혹은 개인으로서 지원자는 어떠한 노력을 했는가?"
"현대모비스㈜","신입","인성면접 - 연구개발","주민등록번호 폐지에 대해 찬반토론하라."
"현대모비스㈜","신입","인성면접 - 연구개발","준비한 피티자료를 5분 동안 발표해보시오."
"현대모비스㈜","신입","인성면접 - 연구개발","중국에서 황사가 몰려오는 것에 대한 대처 방안에 대해 이야기해보시오."
"현대모비스㈜","신입","인성면접 - 연구개발","지원자가 말하는 연구는 산학 과제인 건가? 아니면 연구실에서 자체적으로 하는 연구인가?"
"현대모비스㈜","신입","인성면접 - 연구개발","지원자의 강점에 대해 이야기해보시오."
"현대모비스㈜","신입","인성면접 - 연구개발","지원자의 성격은 어떠한가?"
"현대모비스㈜","신입","인성면접 - 연구개발","창의성을 발휘했던 경험에 대해 말해보시오."
"현대모비스㈜","신입","인성면접 - 연구개발","프로젝트 경험 중 어려웠던 점은 없었는가? 어떻게 극복하였는가?"
"현대모비스㈜","신입","인성면접 - 연구개발","프로젝트를 진행하면서 어려운 점은 무엇이었는가?"
"현대모비스㈜","신입","인성면접 - 연구개발","현대모비스가 당신을 왜 뽑아야 하는지 얘기해봐라."
"현대모비스㈜","신입","인성면접 - 연구개발","현대모비스에 대해 아는 대로 말해보시오."
"현대모비스㈜","신입","인성면접 - 연구개발","현대모비스에 얼마나 관심이 있는가?"
"현대모비스㈜","신입","인성면접 - 연구개발","다른 사람과 협력했던 경험에 대해 이야기해보시오."
"현대모비스㈜","신입","임원면접 - 생산기술","공백기가 있는데 이유가 무엇이며 무엇을 했나요?"
"현대모비스㈜","신입","인성면접 - 연구개발>디자인","갈등 상황에 대한 본인의 대처 방식은?"
"현대모비스㈜","신입","인성면접 - 연구개발>디자인","공백기에 무엇을 했는가?"
"현대모비스㈜","신입","임원면접 - 제조사업>품질","해당 직무에 지원한 동기가 무엇인가?"
"현대모비스㈜","신입","인성면접 - 자동차영업","그 자료가 의미하는 바가 무엇입니까?"
"현대모비스㈜","신입","인성면접 - 자동차영업","본인이 무언가에 도전적으로 수행했던 경험에 대해서 말해보세요."
"현대모비스㈜","신입","인성면접 - 자동차영업","본인이 제시했던 대안이 가장 합리적이라고 생각했던 이유를 말해보세요."
"현대모비스㈜","신입","인성면접 - 자동차영업","본인이 창의적으로 문제를 해결했던 경험에 대해서 설명해주세요."
"현대모비스㈜","신입","인성면접 - 자동차영업","제시된 자료 내용 중 ㅇㅇ에 대해서 설명해보세요."
"현대모비스㈜","신입","인성면접 - R&D(연구개발)","1분 자기소개를 해보세요."
"현대모비스㈜","신입","인성면접 - R&D(연구개발)","결과를 얻기 위해 무언가에 도전을 한 경험이 있나요?"
"현대모비스㈜","신입","인성면접 - R&D(연구개발)","공백기간 6개월 동안 무엇을 하며 지냈나요?"
"현대모비스㈜","신입","인성면접 - R&D(연구개발)","높은 결과를 얻기 위해 도전을 한 적이 있습니까?"
"현대모비스㈜","신입","인성면접 - R&D(연구개발)","디른 기업에 지원한 경험이 있습니까?"
"현대모비스㈜","신입","인성면접 - R&D(연구개발)","열역학 제 1법칙이란 무엇인지 말해보세요."
"현대모비스㈜","신입","인성면접 - R&D(연구개발)","인턴 경험을 통해 느낀 점이 있습니까?"
"현대모비스㈜","신입","인성면접 - R&D(연구개발)","주어진 자료를 볼 때, 가장 큰 문제점은 무엇이라 생각하나요?"
"현대모비스㈜","신입","인성면접 - R&D(연구개발)","창의적인 아이디어를 낸 사례를 말해보세요."
"현대모비스㈜","신입","인성면접 - R&D(연구개발)","친구들이 말하는 본인의 단점은 무엇인가요?"
"현대모비스㈜","신입","인성면접 - R&D(연구개발)","현대모비스 외에 다른 곳 어디 지원했나요?"
"현대모비스㈜","신입","인성면접 - 생산관리/품질관리","가장 힘들었던 경험 혹은 어려웠던 경험은 무엇인가?"
"현대모비스㈜","신입","인성면접 - R&D(연구개발)","가장 중점적으로 생각하는 기업의 이미지는 무엇입니까?"
"현대모비스㈜","신입","인성면접 - R&D(연구개발)","기업의 이미지의 핵심은 무엇이라고 생각합니까?"
"현대모비스㈜","신입","인성면접 - R&D(연구개발)","다이오드에 대해 설명해주세요."
"현대모비스㈜","신입","인성면접 - R&D(연구개발)","도전적으로 일을 한 경험이 있습니까?"
"현대모비스㈜","신입","인성면접 - R&D(연구개발)","리더십을 발휘해 본 경험이 있나요?"
"현대모비스㈜","신입","인성면접 - R&D(연구개발)","목표를 이루기 위해 본인이 지금까지 준비한 것이 무엇입니까?"
"현대모비스㈜","신입","인성면접 - R&D(연구개발)","무중력과 무중량의 차이에 대해 알고 있나요?"
"현대모비스㈜","신입","인성면접 - R&D(연구개발)","문제 해결을 위해 새로운 방안을 제시한 적이 있나요?"
"현대모비스㈜","신입","인성면접 - R&D(연구개발)","본인의 장단점은 무엇이며, 본인은 장점을 더욱 부각시키는 타입입니까, 아니면 단점을 보완하는 타입입니까?"
"현대모비스㈜","신입","인성면접 - R&D(연구개발)","본인이 이 자리에 오기까지 준비한 것이 무엇이며, 목표를 이루기 위해 노력한 것은 무엇인가요?"
"현대모비스㈜","신입","인성면접 - R&D(연구개발)","본인이 팀 프로젝트를 진행하는 데 있어 맡은 역할에 대해 말해보세요."
"현대모비스㈜","신입","인성면접 - R&D(연구개발)","부품 구매 회사 선택에 대해 토론을 해보세요."
"현대모비스㈜","신입","인성면접 - R&D(연구개발)","부품구 매 회사를 선택하는 기준은 무엇입니까?"
"현대모비스㈜","신입","인성면접 - R&D(연구개발)","살면서 도전적으로 일을 한 경험이 있다면 말해보세요."
"현대모비스㈜","신입","인성면접 - R&D(연구개발)","살면서 어려웠던 경험이 있다면 말해보세요."
"현대모비스㈜","신입","인성면접 - R&D(연구개발)","수학계획서에 샤시모듈에 관심이 있다고 했는데, 모듈화에 대해 설명해보세요."
"현대모비스㈜","신입","인성면접 - R&D(연구개발)","에어 서스펜션이 들어간 현대자동차 차량이 무엇인지 알고 있나요?"
"현대모비스㈜","신입","인성면접 - R&D(연구개발)","자동차 제어에 관심이 있는 이유는 무엇인가요?"
"현대모비스㈜","신입","인성면접 - R&D(연구개발)","재료의 응력과 변형률에 대하여 설명해보세요."
"현대모비스㈜","신입","인성면접 - R&D(연구개발)","제너다이오드가 무엇인지 알고 있나요?"
"현대모비스㈜","신입","인성면접 - R&D(연구개발)","주식투자대회에서 수상했는데, 수상 비결이 무엇인가요?"
"현대모비스㈜","신입","인성면접 - R&D(연구개발)","창의적으로 문제를 해결한 경험이 있습니까?"
"현대모비스㈜","신입","인성면접 - R&D(연구개발)","팀 활동 경험과 문제 해결 사례를 말해보세요."
"현대모비스㈜","신입","인성면접 - R&D(연구개발)","학부 연구생으로 있으면서 진행한 프로젝트에 대해 말해보세요."
"현대모비스㈜","신입","인성면접 - R&D(연구개발)","현대모비스 계약학과에 지원한 동기가 있나요?"
"현대모비스㈜","신입","인성면접 - R&D(연구개발)","현대모비스에서 하고 싶은 분야의 일은 무엇인가요?"
"현대모비스㈜","신입","인성면접 - R&D(연구개발)","현대모비스에서 하고 싶은 직무는 무엇인가요?"
"현대모비스㈜","신입","인성면접 - R&D(연구개발)","협력해서 프로젝트나 공동체로 무엇을 진행했던 경험이 있나요?"
"현대모비스㈜","신입","인성면접 - R&D(연구개발)","OS의 개념에 대해 말해보세요."
"현대모비스㈜","신입","인성면접 - R&D(연구개발)","Queue와 Stack의 차이에 대해 말해보세요."
"현대모비스㈜","신입","일반면접 - 물류","비서 자격증이 있는데, 특별히 비서 자격증을 취득한 이유가 있나요?"
"현대모비스㈜","신입","일반면접 - R&D(연구개발)","비서 자격증을 딴 이유가 무엇입니까?"
"현대모비스㈜","신입","일반면접 - R&D(연구개발)","연구개발에서 하고 싶은 분야가 있습니까?"
"현대모비스㈜","신입","일반면접 - R&D(연구개발)","가장 성취감을 느낀 경험에 대해 말해주세요."
"현대모비스㈜","신입","일반면접 - R&D(연구개발)","노이즈의 대표적인 예가 있다면 어떤 것인지 말해보시오"
"현대모비스㈜","신입","일반면접 - R&D(연구개발)","노이즈의 대표적인 예를 말해보세요."
"현대모비스㈜","신입","일반면접 - R&D(연구개발)","도전적인 경험에 대해 말해보시오"
"현대모비스㈜","신입","일반면접 - R&D(연구개발)","목적을 달성하기 위해 남들보다 더 노력했던 경험이 있습니까?"
"현대모비스㈜","신입","일반면접 - R&D(연구개발)","목적을 달성하기 위해 남들보다 더 노력했던 적이 있나요?"
"현대모비스㈜","신입","일반면접 - R&D(연구개발)","본인이 왜 인턴 전환이 안 되었다고 생각하나요?"
"현대모비스㈜","신입","일반면접 - R&D(연구개발)","본인이 왜 인턴전환이 안되었다고 생각하나요?"
"현대모비스㈜","신입","일반면접 - R&D(연구개발)","본인이 왜 인턴전환이 안되었다고 생각합니까?"
"현대모비스㈜","신입","일반면접 - R&D(연구개발)","살면서 가장 성취감을 느낀 경험이 있습니까?"
"현대모비스㈜","신입","일반면접 - R&D(연구개발)","연구개발에서 하고 싶은 분야는 무엇이며, 그 분야에 대해 아는 대로 말해주세요."
"현대모비스㈜","신입","일반면접 - R&D(연구개발)","인턴한 곳을 두고 현대모비스에 지원한 이유가 있나요?"
"현대모비스㈜","신입","일반면접 - R&D(연구개발)","인턴한 곳이 아닌 현대모비스를 지원한 특별한 이유가 있나요?"
"현대모비스㈜","신입","일반면접 - R&D(연구개발)","창의적으로 문제를 해결한 경험이 있습니까?"
"현대모비스㈜","신입","일반면접 - R&D(연구개발)","회로에서 노이즈를 줄이기 위해 해야하는 방법이 있습니까?"
"현대모비스㈜","신입","일반면접 - R&D(연구개발)","회로에서 노이즈를 줄이려면 어떻게 해야 하는지 말해보세요."
"현대모비스㈜","신입","일반면접 - 경영-사무","다른 회사에 지원한 적이 있는가? 있다면 결과는 어떻게 되었는가?"
"현대모비스㈜","신입","일반면접 - 경영-사무","자신의 성과가 팀의 성과로 결과가 나왔을 때 당신은 어떤 반응을 보이는가?"
"현대모비스㈜","신입","일반면접 - 경영-사무","현대자동차가 아니라 왜 현대모비스에 오고싶은가?"
"현대모비스㈜","신입","일반면접 - 생산제조","회사 상황이 어려워졌을 때 본인이 할 수 있는 일은 무엇이라고 생각하는가?"
"현대모비스㈜","신입","인성면접","4명이상 전공관련 팀프로젝트 활동이 있는가? 있다면 구체적으로 설명하라"
"현대모비스㈜","신입","인성면접","팀활동간에 힘들어한 사람이 있는가? 있다면 본인은 그 사람을 위해 어떻게 하였는가?"
"현대모비스㈜","신입","인성면접 - 플랜트운영","동아리 활동을 한 적이 있는가? 있다면 팀에서 어떤 역할을 맡았는가?"
"현대모비스㈜","신입","인성면접 - 플랜트운영","팀활동에서 갈등을 겪은 사례는 없었는가?"
"현대모비스㈜","신입","인성면접 - 플랜트운영","팀활동에서 창의적으로 개선안을 내어 성과를 낸 적이 있는가?"
"현대모비스㈜","신입","임원면접 - 선행연구","마지막으로 하고 싶은 이야기가 있나요?"
"현대모비스㈜","신입","임원면접 - 선행연구","본인이 한 프로젝트에 대해서 설명해주세요"
"현대모비스㈜","신입","토론면접 - 연구개발","동아리 활동을 열심히 했다고 했는데 동아리를 위해 특별히 노력한 것이 있다면?"
"현대모비스㈜","신입","토론면접 - 연구개발","조직이나 프로세스를 개선하기 위해 노력했던 경험은?"
"현대모비스㈜","신입","토론면접 - 연구개발","창의적으로 성공한 경험은?"
"현대모비스㈜","신입","임원면접 - R&D","공동의 목표를 위해서 한 일이 있나요?"
"현대모비스㈜","신입","임원면접 - R&D","미래에는 어떤 자동차가 나올거 같나요?"
"현대모비스㈜","신입","인성면접 - 자동차부품제조","어려운 상황에서 극복해낸 경험은?"
"현대모비스㈜","경력무관","인성면접 - 사무보조 계약직","업무를 볼 때 과정이 중요한가, 결과가 중요한가"
"현대모비스㈜","신입","일반면접 - ceo전형","현대모비스에서 어떤 자동차 부품을 만들고 싶은가요?"
"현대모비스㈜","신입","임원면접 - R&D(연구개발)","현대 모비스에서 만들고 싶은 자동차 부품이 있습니까?"
"현대모비스㈜","신입","일반면접 - 유통-무역","조직의 뜻과 자신의 의도와 어긋났을 때 어떻게 행동할 것인가?"
"현대모비스㈜","신입","일반면접 - 생산제조","두가지의 중요한 일이 겹쳤던 적이 있는가?"
"현대모비스㈜","신입","일반면접 - 생산제조","안전벨트를 개선시킬 방안은 무엇인가?"
"현대모비스㈜","신입","일반면접 - 특수계통-공공","현대모비스에서 생산하는 제품들을 알고 있는가?"
"현대모비스㈜","신입","임원면접 - 구매","말을 굉장히 잘하는데 선천적인건가 연습한건가?"
"현대모비스㈜","신입","인성면접 - 플랜트","기술보다 영업쪽이 어울릴것 같은데 어떻게 생각하는가?"
"현대모비스㈜","신입","PT면접 - 품질관리","품질관리에 사용되는 기법에 대해 말해보시오"
"현대모비스㈜","신입","PT면접 - 품질관리","품질관리에 사용되는 기법에 대해 설명해보세요."
"현대모비스㈜","신입","일반면접","부당한 일을 목격한다면 어떻게 하겠는가?"
"현대모비스㈜","신입","일반면접","시간이 촉박했던 프로젝트가 있는가?"
"현대모비스㈜","신입","일반면접","어느 부서에서 일해보고 싶은가?"
"현대모비스㈜","신입","일반면접","어려운 일을 가장 창의적으로 해결했던 경험이 있는가?"
